quarter,volume
2020-01-01,458883699.34885716
2020-04-01,407395493.34271246
2020-07-01,7411363175.848398
2020-10-01,7731592888.779764
2021-01-01,15472209078.821531
2021-04-01,11638257389.686028
2021-07-01,6236358615.758555
2021-10-01,5575470424.572873
2022-01-01,3970545750.4312077
2022-04-01,3951356369.428366
2022-07-01,2949095114.3135247
2022-10-01,2293110013.3684497
2023-01-01,1996902632.635115
2023-04-01,1311272548.752622
2023-07-01,962518775.17892
2023-10-01,1254560548.5505688
2024-01-01,1500009386.3149621
2024-04-01,953323182.8888505
