,blue chip,mid-cap,small-cap,Global Average HCPI,Global Average GDP Growth (%),Global Average Short-Term Interest Rate
2020-01-01,4.095314884945936e-06,6.278295252177445e-22,1.465191111452219e-99,0.3778709111265773,0.414611180258672,0.16202543081057885
2020-04-01,5.9664207252005525e-05,5.4299019435507585e-17,3.640914073212136e-77,0.41540835779344565,0.0,0.058540551527881284
2020-07-01,4.4089194104980276e-05,4.4664249191406935e-17,2.5906918476786973e-86,0.44415529397524733,1.0,0.02983490299704135
2020-10-01,7.55942808805132e-05,4.324011221091926e-20,3.3935485087545546e-96,0.4994855811420098,0.6063260998971806,0.010908598143505659
2021-01-01,1.0,1.0,1.0,0.5198656458982661,0.580020563883327,4.517017864805157e-05
2021-04-01,6.0951693150179675e-06,9.828284740482322e-29,1.7799976164086253e-138,0.572563318909432,0.6099788949618485,0.0
2021-07-01,0.0001042702286931596,4.135988734159716e-16,1.3562694496603575e-70,0.6310406390897811,0.6125331457329942,0.020100729498385157
2021-10-01,2.0582408503924918e-05,4.026373283681373e-19,3.875105422855598e-92,0.6980210003933791,0.6023864927755831,0.08085461978002122
2022-01-01,9.529737887757431e-07,2.8564939912196363e-25,3.086655160058062e-116,0.7351348080007262,0.5441365874776773,0.12780902048467602
2022-04-01,0.0,9.398828692557683e-42,1.9953370298901165e-202,0.8523012678911853,0.5569998376535527,0.2611513878537389
2022-07-01,9.632072186847163e-06,0.0,0.0,0.9421883983417556,0.549088154120894,0.5111457415814079
2022-10-01,1.2400912517280417e-06,1.0934167965140807e-26,8.592076436074114e-131,1.0,0.5294983494777856,0.7584750547688415
2023-01-01,7.283981384398812e-05,4.750756522337481e-12,1.370981410270809e-62,0.0049928889157866045,0.5419070296011689,0.8592045531540077
2023-04-01,1.0761774844373884e-06,6.3603085987289615e-25,7.16360816761095e-122,0.0031016431143522844,0.5417609177985822,0.9559816609074688
2023-07-01,3.227723895174254e-06,1.1477449951303899e-24,4.3296388757859575e-110,0.0003631191938753872,0.5291249526489529,1.0
2023-10-01,0.00026732035793062674,2.339788884895617e-06,4.236603512422313e-36,0.0,0.5333134909897722,0.9966348216907196
2024-01-01,0.0002223984798487924,2.4206740038513764e-08,8.771670675608485e-47,,,0.9683131196783882
2024-04-01,6.456039776902751e-07,2.726523166274386e-32,6.869002315884624e-155,,,0.9142895860153126
