Ticker,Category
BTC,blue chip
ETH,blue chip
BNB,blue chip
SOL,blue chip
XRP,blue chip
TON,blue chip
DOGE,blue chip
ADA,blue chip
TRX,blue chip
AVAX,blue chip
LINK,mid-cap
DOT,mid-cap
BCH,mid-cap
NEAR,mid-cap
LEO,mid-cap
MATIC,mid-cap
LTC,mid-cap
KAS,mid-cap
UNI,mid-cap
ICP,mid-cap
PEPE,mid-cap
APT,mid-cap
XMR,mid-cap
FET,mid-cap
ETC,mid-cap
XLM,mid-cap
STX,mid-cap
SUI,mid-cap
FIL,mid-cap
TAO,mid-cap
RENDER,mid-cap
CRO,mid-cap
OKB,mid-cap
IMX,mid-cap
INJ,mid-cap
HBAR,mid-cap
ARB,mid-cap
MNT,mid-cap
VET,mid-cap
ATOM,mid-cap
AAVE,mid-cap
MKR,mid-cap
WIF,mid-cap
OP,mid-cap
AR,mid-cap
GRT,mid-cap
BONK,mid-cap
RUNE,mid-cap
FTM,mid-cap
FLOKI,mid-cap
BGB,mid-cap
THETA,mid-cap
TIA,mid-cap
JUP,mid-cap
NOT,mid-cap
ALGO,mid-cap
PYTH,mid-cap
LDO,mid-cap
JASMY,mid-cap
SEI,mid-cap
CORE,mid-cap
ONDO,mid-cap
HNT,mid-cap
KCS,mid-cap
BRETT,mid-cap
BTT,small-cap
BSV,small-cap
FLOW,small-cap
EGLD,small-cap
OM,small-cap
QNT,small-cap
EOS,small-cap
1000SATS,small-cap
BEAM,small-cap
AXS,small-cap
NEO,small-cap
ORDI,small-cap
DYDX,small-cap
XTZ,small-cap
GT,small-cap
GALA,small-cap
FLR,small-cap
POPCAT,small-cap
ENS,small-cap
WLD,small-cap
SAND,small-cap
XEC,small-cap
ZEC,small-cap
CFX,small-cap
W,small-cap
AKT,small-cap
KLAY,small-cap
ENA,small-cap
STRK,small-cap
RON,small-cap
XAUT,small-cap
MANA,small-cap
NEXO,small-cap
MINA,small-cap
ASTR,small-cap
AIOZ,small-cap
CHZ,small-cap
BOME,small-cap
BNX,small-cap
SNX,small-cap
LPT,small-cap
PENDLE,small-cap
CAKE,small-cap
DEXE,small-cap
AXL,small-cap
MEW,small-cap
RAY,small-cap
IOTA,small-cap
FTT,small-cap
MOG,small-cap
LUNC,small-cap
ZK,small-cap
CKB,small-cap
PAXG,small-cap
GNO,small-cap
NFT,small-cap
ZRO,small-cap
APE,small-cap
ROSE,small-cap
COMP,small-cap
TFUEL,small-cap
BTG,small-cap
CRV,small-cap
SAFE,small-cap
TWT,small-cap
KAVA,small-cap
SFP,small-cap
SUN,small-cap
XDC,small-cap
AEVO,small-cap
WEMIX,small-cap
IOTX,small-cap
BLUR,small-cap
MX,small-cap
PEOPLE,small-cap
SUPER,small-cap
DYM,small-cap
1INCH,small-cap
HOT,small-cap
WOO,small-cap
JTO,small-cap
GLM,small-cap
KSM,small-cap
AMP,small-cap
GAL,small-cap
GMT,small-cap
RSR,small-cap
MEME,small-cap
JST,small-cap
DASH,small-cap
G,small-cap
OSMO,small-cap
ANT,small-cap
LUNA,small-cap
GMX,small-cap
MANTA,small-cap
ELF,small-cap
