name;open;high;low;close;volume;marketCap;timestamp
"2781";0.7242572673;1.0532375667;0.6916784398;0.9672188577;27509058.79;0;"2020-06-01T00:00:00.000Z"
"2781";0.9682286915;1.5189196893;0.9062398889;1.3092851082;37416716.25;0;"2020-06-08T00:00:00.000Z"
"2781";1.3049349353;1.9607034027;1.1279832019;1.7763777725;6106779.77;0;"2020-06-15T00:00:00.000Z"
"2781";1.7742948167;1.9145967272;1.4444858139;1.5181117056;7129911.21;0;"2020-06-22T00:00:00.000Z"
"2781";1.5181117056;1.8478748228;1.3832057007;1.6605793759;5517978.04;0;"2020-06-29T00:00:00.000Z"
"2781";1.6680189615;1.7490566444;1.4553132097;1.478699155;2457389.18;0;"2020-07-06T00:00:00.000Z"
"2781";1.478699155;1.7262574212;1.478699155;1.7097748471;1296346.64;0;"2020-07-13T00:00:00.000Z"
"2781";1.7145406176;1.8420851704;1.5081941641;1.7165727788;1500100.52;0;"2020-07-20T00:00:00.000Z"
"2781";1.7165493424;1.7165493424;1.4926375414;1.5368967774;1467758.83;0;"2020-07-27T00:00:00.000Z"
"2781";1.5397849568;2.452182242;1.4954124614;2.203287826;4115724.12;0;"2020-08-03T00:00:00.000Z"
"2781";2.17086354;3.48907941;2.1348553;3.40342401;37088010.56;0;"2020-08-10T00:00:00.000Z"
"2781";3.40342401;3.83076244;2.56257772;3.70706767;46029755.69;0;"2020-08-17T00:00:00.000Z"
"2781";3.70840735;7.38856648;0.06136653;6.44938609;47241712.53;0;"2020-08-24T00:00:00.000Z"
"2781";6.45402949;7.43300844;4.04720696;5.12206148;85270366.17;171049711.54;"2020-08-31T00:00:00.000Z"
"2781";5.12206148;5.31045146;4.19973011;4.60194329;43591446.37;153680520.04;"2020-09-07T00:00:00.000Z"
"2781";4.60879769;4.62951394;3.29177913;3.48736912;21532176.72;116459649.19;"2020-09-14T00:00:00.000Z"
"2781";3.44652902;4.4287025;2.76185866;3.36405433;16658094.4;112341588.39;"2020-09-21T00:00:00.000Z"
"2781";3.37063349;5.54905974;3.36173305;4.14719254;34773592.32;138494254.82;"2020-09-28T00:00:00.000Z"
"2781";4.14903606;5.44927001;3.49753867;4.79511641;36267842.95;160131478.83;"2020-10-05T00:00:00.000Z"
"2781";4.79806139;4.99224644;2.8801161;3.27503239;35696637.25;109368727.45;"2020-10-12T00:00:00.000Z"
"2781";3.25042984;3.25042984;2.52122797;2.91603238;22289230.76;97380029.3;"2020-10-19T00:00:00.000Z"
